date,open,high,low,close,Volume BTC,Volume USDT,tradecount
2022-01-01 00:00:00,46216.93,46731.39,46208.37,46656.13,1503.33095,69879986.3904993,38608.0
2022-01-01 01:00:00,46656.14,46949.99,46574.06,46778.14,943.81539,44127148.1176022,31872.0
2022-01-01 02:00:00,46778.14,46928.94,46721.96,46811.77,485.1686,22720670.4192001,24364.0
2022-01-01 03:00:00,46811.77,46916.63,46760.12,46813.2,562.88971,26363260.4633629,19882.0
2022-01-01 04:00:00,46813.21,46887.33,46591.23,46711.05,861.88389,40272043.7383876,23357.0
2022-01-01 05:00:00,46711.05,47555.55,46673.94,47192.55,1400.73642,66188305.956227,41431.0
2022-01-01 06:00:00,47192.56,47324.42,46940.0,46979.62,613.97776,28941491.5656397,25196.0
2022-01-01 07:00:00,46979.61,47255.85,46864.84,47194.73,646.20081,30399865.6325987,25166.0
2022-01-01 08:00:00,47194.73,47344.69,47075.11,47124.82,532.44767,25132258.9178944,24412.0
2022-01-01 09:00:00,47124.82,47215.56,46933.58,47143.98,541.32491,25480514.3843935,25365.0
2022-01-01 10:00:00,47143.98,47298.75,46715.39,46871.08,923.0176,43322629.2277111,32540.0
2022-01-01 11:00:00,46871.09,47007.73,46756.77,46758.87,732.88793,34373032.6824355,27081.0
2022-01-01 12:00:00,46758.87,47150.48,46756.3,47074.05,582.15009,27355387.028293,25608.0
2022-01-01 13:00:00,47074.05,47199.67,46935.09,47023.24,454.14412,21373423.4608165,23077.0
2022-01-01 14:00:00,47023.24,47100.0,46850.18,46926.22,503.6622,23656850.5083971,23020.0
2022-01-01 15:00:00,46920.01,47491.14,46871.69,47219.04,1515.95305,71605243.7145931,37411.0
2022-01-01 16:00:00,47219.04,47527.24,47186.07,47268.62,1049.57919,49727146.241104,36116.0
2022-01-01 17:00:00,47268.61,47954.63,47238.81,47754.48,1320.66577,62917380.6519855,50007.0
2022-01-01 18:00:00,47754.47,47844.97,47420.0,47560.55,860.76025,40986790.5852016,33471.0
2022-01-01 19:00:00,47560.54,47611.84,47292.72,47329.78,830.6716,39371494.0751019,34902.0
2022-01-01 20:00:00,47329.79,47559.03,47250.18,47391.82,717.20792,33997955.140303,26745.0
2022-01-01 21:00:00,47391.82,47573.05,47268.79,47319.67,809.21927,38367198.6185877,26162.0
2022-01-01 22:00:00,47319.66,47490.98,47222.22,47440.74,466.47861,22096653.53843,26369.0
2022-01-01 23:00:00,47440.74,47814.0,47277.77,47722.65,746.28954,35498428.5247211,32737.0
2022-01-02 00:00:00,47722.66,47750.0,47381.12,47625.3,1082.50817,51510548.660154,32921.0
2022-01-02 01:00:00,47625.29,47641.83,47315.38,47377.97,465.7536,22096206.48265,24393.0
2022-01-02 02:00:00,47377.97,47449.56,47275.5,47370.5,452.39245,21431205.7744405,25513.0
2022-01-02 03:00:00,47370.49,47467.11,47269.47,47329.47,387.25302,18338323.3243754,18986.0
2022-01-02 04:00:00,47329.47,47415.73,46770.23,46910.3,1259.6882,59314365.8658618,36223.0
2022-01-02 05:00:00,46910.3,47089.63,46832.08,47081.28,686.20377,32222910.711241,24054.0
2022-01-02 06:00:00,47081.28,47244.0,47011.24,47122.61,528.20197,24892334.120441,19779.0
2022-01-02 07:00:00,47122.6,47300.0,47087.62,47173.45,544.37433,25684083.1452843,20702.0
2022-01-02 08:00:00,47173.44,47247.12,46970.05,47222.4,578.28603,27254939.7970782,28390.0
2022-01-02 09:00:00,47222.4,47499.45,47144.12,47273.24,792.44368,37508111.2813318,30399.0
2022-01-02 10:00:00,47273.23,47348.34,47140.3,47188.89,390.08901,18437661.8091785,21618.0
2022-01-02 11:00:00,47188.88,47400.0,47159.57,47235.5,359.02993,16973153.6537593,21474.0
2022-01-02 12:00:00,47238.89,47447.0,47013.5,47292.95,798.05773,37687789.8911528,32247.0
2022-01-02 13:00:00,47289.67,47300.86,47090.0,47137.35,580.44121,27379356.5890747,25806.0
2022-01-02 14:00:00,47137.35,47202.39,47020.0,47112.55,617.66611,29105931.9414711,31910.0
2022-01-02 15:00:00,47112.54,47390.0,47071.27,47340.47,784.16369,37034369.0457993,35285.0
2022-01-02 16:00:00,47340.47,47886.0,47273.64,47792.3,1367.5695,65059041.5703051,46452.0
2022-01-02 17:00:00,47792.29,47990.0,47317.46,47401.14,1440.59237,68642927.2657506,49654.0
2022-01-02 18:00:00,47401.14,47401.14,46654.0,47058.12,1852.33799,87074188.162964,54581.0
2022-01-02 19:00:00,47056.43,47217.1,46851.51,46907.68,937.38607,44050432.7009168,31283.0
2022-01-02 20:00:00,46907.67,47050.0,46815.17,47007.14,570.22257,26773711.7131363,25337.0
2022-01-02 21:00:00,47007.14,47187.98,46913.27,47018.03,432.59568,20353215.0017813,21711.0
2022-01-02 22:00:00,47017.98,47398.99,47014.84,47255.38,683.72196,32298092.8331728,26913.0
2022-01-02 23:00:00,47255.39,47469.34,47255.38,47286.18,749.48136,35488094.2220376,23993.0
2022-01-03 00:00:00,47286.18,47289.11,47050.0,47050.08,734.11794,34631424.4858381,29032.0
2022-01-03 01:00:00,47050.09,47138.78,46950.0,47116.71,628.0558,29545322.6846871,24231.0
2022-01-03 02:00:00,47116.22,47116.71,46858.44,46999.98,781.70714,36713937.0826582,28474.0
2022-01-03 03:00:00,46999.98,47084.8,46722.39,46793.26,850.43854,39858845.7268041,28247.0
2022-01-03 04:00:00,46793.27,46944.77,46750.0,46822.26,688.49875,32259048.5684818,23199.0
2022-01-03 05:00:00,46822.26,47211.09,46750.13,47078.64,918.62173,43151873.1947783,26773.0
2022-01-03 06:00:00,47078.64,47100.0,46877.84,46923.75,596.63069,28040771.1944042,23073.0
2022-01-03 07:00:00,46923.75,47080.0,46852.38,47051.37,635.22586,29829890.6778144,24942.0
2022-01-03 08:00:00,47051.36,47135.97,46922.27,46978.82,684.64114,32190242.6519163,28436.0
2022-01-03 09:00:00,46978.81,47109.25,46778.0,46984.55,987.07117,46306909.1171072,33833.0
2022-01-03 10:00:00,46984.56,47251.19,46981.84,47126.02,1138.98932,53693996.6291637,36191.0
2022-01-03 11:00:00,47126.02,47431.67,47125.48,47378.0,1451.6891,68664798.5543401,38954.0
2022-01-03 12:00:00,47378.0,47570.0,47175.01,47194.39,1183.63545,56066096.4329083,44228.0
2022-01-03 13:00:00,47194.39,47495.96,47127.51,47153.5,813.83783,38467412.1809847,32898.0
2022-01-03 14:00:00,47153.5,47285.39,46765.0,46874.53,1711.43,80441655.4915601,50675.0
2022-01-03 15:00:00,46874.53,47018.0,46575.25,46693.45,1754.81723,82124492.1501102,52298.0
2022-01-03 16:00:00,46693.44,46780.0,46263.29,46482.34,3415.75302,158637726.5163543,80077.0
2022-01-03 17:00:00,46482.34,46790.0,46411.78,46577.15,1121.75227,52288357.293249,39281.0
2022-01-03 18:00:00,46577.16,46740.96,46412.99,46472.73,662.25,30838195.2766663,32003.0
2022-01-03 19:00:00,46475.6,46645.34,46360.0,46360.01,661.7066,30781303.1139487,27929.0
2022-01-03 20:00:00,46360.01,46413.47,45696.0,45922.0,3127.50381,143787456.7196272,75059.0
2022-01-03 21:00:00,45922.01,46260.44,45811.87,45979.01,1055.66747,48591220.4677769,36692.0
2022-01-03 22:00:00,45979.01,46439.97,45961.59,46217.9,1002.70049,46324222.0549148,39674.0
2022-01-03 23:00:00,46217.91,46576.94,46170.64,46446.1,1055.33575,48968310.0595609,29425.0
2022-01-04 00:00:00,46446.1,46549.19,46150.0,46244.37,1055.75335,48932193.5358603,39084.0
2022-01-04 01:00:00,46244.37,46404.94,46040.79,46054.99,771.65428,35662580.3276282,30598.0
2022-01-04 02:00:00,46054.99,46268.72,45934.5,46103.36,1021.46917,47077201.1000119,34666.0
2022-01-04 03:00:00,46103.36,46383.77,46001.23,46313.97,755.88587,34930544.802562,26480.0
2022-01-04 04:00:00,46313.96,46411.12,45996.26,46100.14,2070.6589,95550626.6603589,42738.0
2022-01-04 05:00:00,46100.14,46292.15,46016.24,46151.66,869.60169,40118489.248705,26977.0
2022-01-04 06:00:00,46148.23,46390.04,46058.51,46367.53,1240.05303,57357655.2798845,29503.0
2022-01-04 07:00:00,46367.53,46600.21,46322.09,46550.0,1554.0381,72207539.2542985,37679.0
2022-01-04 08:00:00,46549.99,46682.06,46385.61,46489.73,1316.31063,61275173.8746794,37675.0
2022-01-04 09:00:00,46489.72,46599.53,46300.0,46356.21,856.18802,39764326.2854924,29481.0
2022-01-04 10:00:00,46356.21,46772.41,46300.0,46625.37,1162.38531,54095516.7073777,34161.0
2022-01-04 11:00:00,46625.37,46765.05,46616.46,46733.77,1351.64824,63122601.3931239,40742.0
2022-01-04 12:00:00,46733.78,46763.0,46479.25,46641.53,897.32283,41799825.7214511,35094.0
2022-01-04 13:00:00,46641.52,47069.01,46410.0,46955.22,1511.87787,70755552.3787487,52269.0
2022-01-04 14:00:00,46955.22,47500.1,46805.54,47333.38,3051.43768,144120144.8011963,72031.0
2022-01-04 15:00:00,47336.98,47557.54,46850.05,46925.35,2605.26496,123225257.1601131,67538.0
2022-01-04 16:00:00,46925.34,46925.35,46650.0,46767.27,1774.71297,83035484.8862469,53988.0
2022-01-04 17:00:00,46767.28,46984.99,46522.91,46555.01,782.53703,36619848.5979628,36764.0
2022-01-04 18:00:00,46555.0,46719.78,45500.0,45750.0,4580.41041,210647730.9460553,91427.0
